title,url,company,location,salary,posted,snippets
Director of Operations,https://www.indeed.com/rc/clk?jk=a1f407b30a77fa22&fccid=937797f357bc1b82&vjs=3,Amedisys,"Charleston, SC 29414","$93,000 - $116,521 a year",11 days ago,Fleet vehicle program (for full-time caregivers meeting certain requirements). / A full benefits package (with affordable health insurance options).
Customer Onsite Manager,https://www.indeed.com/rc/clk?jk=fec631d8a93e6231&fccid=818171173e16fd12&vjs=3,"Benore Logistic Systems, Inc.","Ridgeville, SC 29472","","Employer
Active 11 days ago","Resolve escalation issues and customer complaints including issues related to tactical service, on-time delivery, and performance metrics, expedite process…"
Social Worker,https://www.indeed.com/rc/clk?jk=413f4b846436cd31&fccid=c6d2c1878b963218&vjs=3,Palmetto Lowcountry Behavioral Health,"North Charleston, SC 29405","",30+ days ago,Other: Ability to relate well with treatment professionals; Ability to mobilize and coordinate staff resources; skills in dealing courteously with the public…
Human Resources Generalist,https://www.indeed.com/rc/clk?jk=66e7ca5a2180c8be&fccid=c686e43ba8041ef4&vjs=3,We Are Sharing Hope Sc,"North Charleston, SC 29405","",30+ days ago,Excellent time management skills with a proven ability to meet deadlines. / The Human Resources (HR) Generalist- HR Business Partner is responsible for the human…
Assistant Traffic Operations Manager,https://www.indeed.com/rc/clk?jk=8e01ee5edb7a0a9e&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29403 
(Westside area)","$60,570 - $64,813 a year",8 days ago,"The City of Charleston offers an extensive benefits package for full-time employees, including: health, dental and vision insurance; employer-paid short and…"
Lactation Consultant Full Time Days,https://www.indeed.com/rc/clk?jk=5b5b8505f10f3425&fccid=18721e88ef6fc058&vjs=3,East Cooper Medical Center,"Mount Pleasant, SC","",14 days ago,"If you are offered this position and must be vaccinated under any applicable law, you will be required to show proof of full vaccination or obtain an approval…"
Installation Technician,https://www.indeed.com/rc/clk?jk=988e17c949a052fb&fccid=25b5166547bbf543&vjs=3,AT&T,"Summerville, SC","$51,731 a year",17 days ago,"At times work in small spaces or aloft (up to 28 ft.). / Individual starting salary within this range may depend on geography, experience, expertise, and…"
Purchasing Agent,https://www.indeed.com/rc/clk?jk=1790b415e14ab040&fccid=a1ea67e0245dea95&vjs=3,Beazer Homes,"Charleston, SC 29405","",30+ days ago,This position is primarily responsible for recognizing value of items being purchased for the Division; negotiates and closes deals with subcontractors and…
Service Advisor,https://www.indeed.com/company/Mercedes--Benz-of-Cinncinati/jobs/Service-Advisor-30d4ae414a75b7ef?fccid=23cada61c82c62d1&vjs=3,Hudson Automotive Group - Summerville Nissan,"Summerville, SC","$80,000 a year","Employer
Active 2 days ago","If you are an experienced Automotive Service Associate, or an accomplished Sales/Customer Service professional with a track record of success, it’s time to…"
Social Worker - HBPC,https://www.indeed.com/rc/clk?jk=24ae84882c4a1e35&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration,"Charleston, SC 29401","$82,830 - $107,680 a year",8 days ago,"Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent."
Data Analyst II,https://www.indeed.com/rc/clk?jk=6f1a438b3eaf710e&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,"The Data Analyst II reports to the Manager of Analytics in support of MUSC’s academic, research and healthcare missions."
title,url,company,location,salary,posted,snippets
Prosthetic Representative (Assistant Chief),https://www.indeed.com/rc/clk?jk=3e5354265108c0d2&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration,"Charleston, SC 29401","$82,830 - $107,682 a year",4 days ago,"Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent."
"Hospital Manager - Charleston, SC",https://www.indeed.com/rc/clk?jk=e80b99a529ce9274&fccid=a438cef1a9ae1590&vjs=3,All Creatures Veterinary Clinic,"Charleston, SC 29403 
(Radcliffborough area)","",9 days ago,The successful candidate will share our commitment to provide exceptional client service and excellent veterinary care to our loyal clients and their pets.
Manager-Support Services,https://www.indeed.com/rc/clk?jk=342c4650a38a0f1d&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,Manages one or more functional areas of a department. / Manages two or more professional and support staff including subordinate supervisors.
"Distribution Supervisor, 3rd Shift",https://www.indeed.com/rc/clk?jk=7381bbfdc8c5c2f9&fccid=ef046b6a127e625e&vjs=3,Gildan,"Charleston, SC","",30+ days ago,"Maintains team work schedule, associate time-off requests, attendance and timekeeping records, and approves time for payroll processing for all associates…"
Laboratory Supervisor,https://www.indeed.com/rc/clk?jk=ef546865c479c3e4&fccid=b2c37f6b8ae17ab4&vjs=3,Amspec Services,"Charleston, SC","",30+ days ago,Responsible for conducting and supervising laboratory analysis and operations. / Understand and keep current with all laboratory safety and reporting requirements…
Director of Equipment Operations,https://www.indeed.com/rc/clk?jk=1368f32cb536d626&fccid=adea2e8f452c8038&vjs=3,Charleston Southern University,"Charleston, SC 29406","",30+ days ago,"Summary: Reporting to the Deputy Director of Athletics/Chief of Staff, the Director of Equipment Operations oversees the maintenance and inventory of athletic…"
Med Lab Tech/Med Tech,https://www.indeed.com/rc/clk?jk=c8497494c8011971&fccid=18f98cb905fb01c2&vjs=3,Roper St. Francis Healthcare,"Charleston, SC","",8 days ago,"Knowledge/Skills: Must be capable of operating laboratory instrumentation, performing patient phlebotomy, and making sound, well informed decisions under…"
Middle School Long-term Substitute Teacher,https://www.indeed.com/rc/clk?jk=71fa0dd71b109ab3&fccid=9c4f67bded163d63&vjs=3,Meeting Street Schools,"Charleston, SC",$20 - $30 an hour,30+ days ago,"In the absence of one of our full-time teachers, you will teach and engage students as if they are your own. / Use materials provided to attain lesson goals."
Local Class A CDL Driver,https://www.indeed.com/rc/clk?jk=c4566d137dce9cdd&fccid=d57a67431f719964&vjs=3,Frito-Lay North America,"Ladson, SC","$86,000 a year",1 day ago,Will have generally consistent dispatch days and times. / You are able to stand and walk for extended periods of time with or without a reasonable accommodation.
Electrician II,https://www.indeed.com/rc/clk?jk=aeb030214128370c&fccid=f9e9614d2e9e58b5&vjs=3,TITAN SOLAR POWER SC INC,"Charleston, SC 29420",$28 - $35 an hour,8 days ago,Able to travel up to 40% of the time. / A Titan Electrician will work with a team on the commission of Solar energy management control systems.
Roofing Specialist I (Group 10),https://www.indeed.com/rc/clk?jk=05f1f719f7097415&fccid=63027b1d60be25ec&vjs=3,Berkeley County School District,"Berkeley County, SC","$48,706 - $66,424 a year",30+ days ago,245 - Exact daily hours to be determined by supervisor (8 hours per day/40 hours per week). / Negative TB test results under 1 year old.
General Manager,https://www.indeed.com/rc/clk?jk=343aa1c58d2a5dfb&fccid=f1ee5563a47bb6be&vjs=3,"O.E. DURANT, INC.","Hanahan, SC 29410","$75,000 - $90,000 a year",30+ days ago,"This is a full-time, salaried, exempt position reporting to the Director of Maritime Support Services and Chandlery. / Sit or stand for extended periods of time."
Software Quality Engineer Sr.,https://www.indeed.com/rc/clk?jk=2018a6900a07589f&fccid=aeb15e43a6800b9d&vjs=3,Lockheed Martin Corporation,"North Charleston, SC","",11 days ago,These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
Manager Community Outreach,https://www.indeed.com/rc/clk?jk=ec796dbe59debe2d&fccid=289e75237f4c1edd&vjs=3,AmeriHealth Caritas,"Hybrid remote in Charleston, SC","",30+ days ago,Identify and implement arrangements with network providers where community outreach staff can be embedded part time or full-time in their facilities to increase…
Territory Manager (Food Svc Exp) - Charleston SC,https://www.indeed.com/rc/clk?jk=9c1d84d4ccc874e5&fccid=ed01b5fdd54d798c&vjs=3,US Foods,"Remote in Charleston, SC 29405","",30 days ago,List the required physical activities including length of time performing each activity referencing the key below. / Primary owner of customer relationship.
title,url,company,location,salary,posted,snippets
Financial Advisor,https://www.indeed.com/rc/clk?jk=a88242c352cae5c3&fccid=2f4c6793256058e4&vjs=3,"First Command Financial Services, Inc.","N Charleston, SC","",30+ days ago,"Directly engage with the military community by partnering with local military organizations, military units, and other affiliates that support the military…"
"Inside Sales Representative, Remote",https://www.indeed.com/rc/clk?jk=2b992e2d6a7ac949&fccid=f17891300e09efba&vjs=3,LINQ,"Remote in Charleston, SC","",2 days ago,16 hours of paid volunteer time. / 1+ years experience in a full-cycle SaaS sales role. / Our products beat the competition by focusing on all business operations…
"Manager, Cash Posting",https://www.indeed.com/rc/clk?jk=38de9196b73e6721&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",2 days ago,"Setting performance goals: The Manager establishes performance metrics and goals for the cash posting CTM, such as productivity targets, accuracy rates and…"
Manufacturing Supervisor - Device Assembly,https://www.indeed.com/rc/clk?jk=1e6682b366182761&fccid=4f73d41c25b0f9a3&vjs=3,SHL Medical AG,"Charleston, SC","",30+ days ago,"Be a Servant-Leader who remains present and available to your direct reports while on shift, maintain active floor presence time greater than 75%."
Contract Administrator,https://www.indeed.com/rc/clk?jk=f72360d3ebe134a9&fccid=84982d5610f302fe&vjs=3,Kinder Morgan,"Charleston, SC 29405","",30+ days ago,The Contract Administrator position is responsible for supporting the Commercial Group with regard to Contract Management.
Plant Supervisor I,https://www.indeed.com/company/grupo-argos/jobs/Plant-Supervisor-9c41ea8d3c1a5468?fccid=8890ef8da2966861&vjs=3,Argos USA,"Summerville, SC","$51,321 - $71,278 a year","Employer
Active 3 days ago",General purpose of the job*. / The Plant Supervisor will be responsible for batching concrete and maintaining the mechanical operational performance of a single…
Spend Manager,https://www.indeed.com/rc/clk?jk=e8c6bc861b2cc3b8&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,The Spend Management/Procurement Manager plays a significant role in ensuring the maximum value of the MUSC Workday solution. / Train staff and business users.
"APS-3: Truck Driver, Heavy",https://www.indeed.com/rc/clk?jk=287d4ceb2cec2924&fccid=cbfa56f19cc95796&vjs=3,KBR,"Charleston, SC 29401","",30+ days ago,"The truck driver drives a truck to transport materials, merchandise, equipment, or workers between various types of establishments, and customers places of…"
"React Engineer - Remote, Full-Time",https://www.indeed.com/rc/clk?jk=2a788ba9d5db982f&fccid=a8bcbb5ebbd3ed25&vjs=3,Bluelight Consulting,"Remote in Charleston, SC","",30+ days ago,Track your time throughout the day using Toggl. / Generous paid-time-off policy. / As an engineer at Bluelight Consulting you will help our incredible clients…
General Manager,https://www.indeed.com/rc/clk?jk=258cdb1fdbdbbc2c&fccid=69abf7aaf8c9b1a7&vjs=3,"LaTour Hotels and Resorts, Inc.","Charleston, SC 29401","",30+ days ago,"Church Street Inn is managed by LaTour Hotels and Resorts, Inc., and offers a great benefits package including medical, dental, vision, company paid life…"
Design Studio Consultant,https://www.indeed.com/rc/clk?jk=f7211335502bfcca&fccid=7a7b422618eedf69&vjs=3,Toll Brothers,"Ladson, SC 29456","",30+ days ago,Able to plan and prioritize while focusing on detail orientation and effective time management. / The Design Studio Consultant position is responsible for guiding…
Sr. Strategic Account Executive Healthplan - Eastern Time Zone - Remote,https://www.indeed.com/rc/clk?jk=d3f4d85cccab86c5&fccid=3c38342724c75954&vjs=3,Optum,"Remote in Charleston, SC 29410","",13 days ago,"Willing to work with clients in the eastern time zone. / This role serves as the senior level liaison between Optum and key clients, typically at the Director or…"
"Sr Field Service Tech - Charleston, SC (Remote)",https://www.indeed.com/rc/clk?jk=a6a7c7451ac8e58a&fccid=2e5caca514781282&vjs=3,Signode Industrial Group,"Remote in Charleston, SC 29401",$29 - $32 an hour,30+ days ago,Perform duties to install and provide on-demand/scheduled service and training for all general-purpose equipment and a wide variety of industrial and specific…
Univ - Chief Residents - Pediatrics,https://www.indeed.com/rc/clk?jk=c932db0eea3ad43a&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",17 days ago,"The Department of Pediatrics is hiring Chief Residents to align with the Residency Program, Administration, Clinical Care, Research, and Academics."
Project Manager - Charleston Division,https://www.indeed.com/rc/clk?jk=4fd176ae0bcb4ac5&fccid=f0c6a180fe643ec9&vjs=3,Crescent Homes,"Mount Pleasant, SC 29464","",30+ days ago,"Â· Consistently deliver high-quality, low-defect, on-time and on-budget homes. / The position of Project Manager is an integral part of the Construction Team and…"
title,url,company,location,salary,posted,snippets
Customer Care Manager II,https://www.indeed.com/rc/clk?jk=6e3a8ef51af31bb9&fccid=abf5abce7eb2fbd3&vjs=3,PulteGroup,"North Charleston, SC","",30+ days ago,Conduct in-person homeowner assessments on an as needed basis. / Determine if corrective work order is needed. / Manage trades to completion of service requests to…
UNIV - Program Coordinator II - Library,https://www.indeed.com/rc/clk?jk=4ea970000b07a46c&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","$45,530 - $64,885 a year",30+ days ago,This person will perform professional level work in organizing and disseminating information and promotional materials to aid in promoting public and…
